provider,provider_url,feed_type,feed_url,feed_id,resume_cursor
Coram's Fields,https://coramsfieldsindoorspaces.bookteq.com/api/open-active/,facilityUse,https://coramsfieldsindoorspaces.bookteq.com/api/open-active/facility-uses,coram-s-fields--facilityuse,https://coramsfieldsindoorspaces.bookteq.com/api/open-active/facility-uses?afterTimestamp=1781092488946393&afterId=748b7aa4-b315-498d-a128-70cf99d55763
Courts Club,https://shikogroupltd.bookteq.com/api/open-active/,facilityUse,https://shikogroupltd.bookteq.com/api/open-active/facility-uses,courts-club--facilityuse,https://shikogroupltd.bookteq.com/api/open-active/facility-uses?afterTimestamp=1780939893635901&afterId=c7b43a4f-c4bb-49d2-a9f5-423079205f9a
Courtside Hubs CIC,https://api.premiertennis.co.uk/openactive,facilityUse,https://api.premiertennis.co.uk/openactive/feed/facility-uses,courtside-hubs-cic--facilityuse,https://api.premiertennis.co.uk/openactive/feed/facility-uses?afterTimestamp=1784101844&afterId=22
Danbury Parish Council,https://danburyparishcouncil.bookteq.com/api/open-active/,facilityUse,https://danburyparishcouncil.bookteq.com/api/open-active/facility-uses,danbury-parish-council--facilityuse,https://danburyparishcouncil.bookteq.com/api/open-active/facility-uses?afterTimestamp=1783676307921750&afterId=b3f7a7b0-60b4-4dce-a392-f21a94123b4c
Debdale Park Sports & Recreation Club,https://debdaleparksports.bookteq.com/api/open-active/,facilityUse,https://debdaleparksports.bookteq.com/api/open-active/facility-uses,debdale-park-sports-recreation-club--facilityuse,https://debdaleparksports.bookteq.com/api/open-active/facility-uses?afterTimestamp=1772140930242036&afterId=691a3b28-abd4-41e1-aa03-a145bcdd5037
Derby Active,https://derbyactive-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://derbyactive-openactive.legendonlineservices.co.uk/api/facility-uses,derby-active--facilityuse,https://derbyactive-openactive.legendonlineservices.co.uk/api/facility-uses?afterTimestamp=959495&afterId=382
Didcot Town Council,https://didcottowncouncil.bookteq.com/api/open-active/,facilityUse,https://didcottowncouncil.bookteq.com/api/open-active/facility-uses,didcot-town-council--facilityuse,https://didcottowncouncil.bookteq.com/api/open-active/facility-uses?afterTimestamp=1776358764101790&afterId=12cf996d-52ae-447d-bf44-ab5b4d95030a
Earlsdon Rugby Club,https://earlsdon.bookteq.com/api/open-active/,facilityUse,https://earlsdon.bookteq.com/api/open-active/facility-uses,earlsdon-rugby-club--facilityuse,https://earlsdon.bookteq.com/api/open-active/facility-uses?afterTimestamp=1725361882007679&afterId=bcb24fa4-5c39-4c77-a8e5-b09fa35a6866
East Midlands Academy Trust,https://eastmidlandsacademytrust.bookteq.com/api/open-active/,facilityUse,https://eastmidlandsacademytrust.bookteq.com/api/open-active/facility-uses,east-midlands-academy-trust--facilityuse,https://eastmidlandsacademytrust.bookteq.com/api/open-active/facility-uses?afterTimestamp=1778144396622913&afterId=0c34f9c7-e393-4723-8a8e-f9403d2a0edc
Eire Og GAA,https://eireoggaa.bookteq.com/api/open-active/,facilityUse,https://eireoggaa.bookteq.com/api/open-active/facility-uses,eire-og-gaa--facilityuse,https://eireoggaa.bookteq.com/api/open-active/facility-uses?afterTimestamp=1776021450348279&afterId=a6042e1f-7266-4e4e-a8e5-28a43b9d8ebd
Elgar Park Regional Hockey Association,https://elgarparkregionalhockeyassociation.bookteq.com/api/open-active/,facilityUse,https://elgarparkregionalhockeyassociation.bookteq.com/api/open-active/facility-uses,elgar-park-regional-hockey-association--facilityuse,https://elgarparkregionalhockeyassociation.bookteq.com/api/open-active/facility-uses?afterTimestamp=1774964853483103&afterId=815742c2-c4ec-412d-8993-1d59d438f4fa
Enfield Drill Hall Sports Club,https://enfielddrillhallsportsclub.bookteq.com/api/open-active/,facilityUse,https://enfielddrillhallsportsclub.bookteq.com/api/open-active/facility-uses,enfield-drill-hall-sports-club--facilityuse,https://enfielddrillhallsportsclub.bookteq.com/api/open-active/facility-uses?afterTimestamp=1773232517369013&afterId=17d7e831-850e-4cb9-95be-cfe18929e56b
Everyone Active,https://data.everyoneactive.com/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-facility-uses,everyone-active--facilityuse,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-facility-uses?afterTimestamp=4820196883&afterId=105STENNIS
Featherstone Sports Centre Trust,https://featherstonesportscentre.bookteq.com/api/open-active/,facilityUse,https://featherstonesportscentre.bookteq.com/api/open-active/facility-uses,featherstone-sports-centre-trust--facilityuse,https://featherstonesportscentre.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769005086995100&afterId=16270320-7f70-4e03-a0b6-e41c2a805409
Football 567,https://football567.bookteq.com/api/open-active/,facilityUse,https://football567.bookteq.com/api/open-active/facility-uses,football-567--facilityuse,https://football567.bookteq.com/api/open-active/facility-uses?afterTimestamp=1768233427326333&afterId=327f281a-90b9-41d0-bf2d-b802f44fcf39
Football Samurai Academy Limited ,https://footballsamuraiacademylimited.bookteq.com/api/open-active/,facilityUse,https://footballsamuraiacademylimited.bookteq.com/api/open-active/facility-uses,football-samurai-academy-limited--facilityuse,https://footballsamuraiacademylimited.bookteq.com/api/open-active/facility-uses?afterTimestamp=1778079857497158&afterId=e75b488f-7180-4a4d-b4e2-c94e1dd3db99
FZ 2024 Ltd,https://fz2024ltd.bookteq.com/api/open-active/,facilityUse,https://fz2024ltd.bookteq.com/api/open-active/facility-uses,fz-2024-ltd--facilityuse,https://fz2024ltd.bookteq.com/api/open-active/facility-uses?afterTimestamp=1783089610180853&afterId=0d4a2e08-b48c-4a00-8359-d4b264af55e3
gll,https://gll-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://gll-openactive.legendonlineservices.co.uk/api/facility-uses,gll--facilityuse,
gmcommunitylettings,https://gmcommunitylettings.bookteq.com/api/open-active/,facilityUse,https://gmcommunitylettings.bookteq.com/api/open-active/facility-uses,gmcommunitylettings--facilityuse,https://gmcommunitylettings.bookteq.com/api/open-active/facility-uses?afterTimestamp=1783339513126519&afterId=8294e333-c17f-4a4d-a2c0-921d0d9058c5
Gravesham Legend Sports Ltd,https://graveshamlegendsports.bookteq.com/api/open-active/,facilityUse,https://graveshamlegendsports.bookteq.com/api/open-active/facility-uses,gravesham-legend-sports-ltd--facilityuse,https://graveshamlegendsports.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769005212709832&afterId=61458c14-03c3-4568-9fe8-b292d036982d
Halo,https://halo-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://halo-openactive.legendonlineservices.co.uk/api/facility-uses,halo--facilityuse,https://halo-openactive.legendonlineservices.co.uk/api/facility-uses?afterTimestamp=8619638&afterId=2036
Harborne Cricket Club,https://harbornecricketclub.bookteq.com/api/open-active/,facilityUse,https://harbornecricketclub.bookteq.com/api/open-active/facility-uses,harborne-cricket-club--facilityuse,https://harbornecricketclub.bookteq.com/api/open-active/facility-uses?afterTimestamp=1772718507205799&afterId=36c88323-5373-4a60-b343-32d20ff3c69d
Haringey Council,https://haringeycouncil.bookteq.com/api/open-active/,facilityUse,https://haringeycouncil.bookteq.com/api/open-active/facility-uses,haringey-council--facilityuse,https://haringeycouncil.bookteq.com/api/open-active/facility-uses?afterTimestamp=1781860397980158&afterId=7800e1a5-c0f8-4419-af5e-09197ccb3bdf
Harpur Hill Sports Centre CIC,https://harpurhillsportscentrecic.bookteq.com/api/open-active/,facilityUse,https://harpurhillsportscentrecic.bookteq.com/api/open-active/facility-uses,harpur-hill-sports-centre-cic--facilityuse,https://harpurhillsportscentrecic.bookteq.com/api/open-active/facility-uses?afterTimestamp=1774056116543274&afterId=c3f32b59-4747-4a3a-9d80-af312621805b
hcandl,https://hcandl-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://hcandl-openactive.legendonlineservices.co.uk/api/facility-uses,hcandl--facilityuse,
horizon,https://horizon-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://horizon-openactive.legendonlineservices.co.uk/api/facility-uses,horizon--facilityuse,
Huntingdonshire District Council,https://oneleisure.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/OneLeisure-live-facility-uses,huntingdonshire-district-council--facilityuse,https://opendata.leisurecloud.live/api/feeds/OneLeisure-live-facility-uses?afterTimestamp=82104918&afterId=S1011C
Hythe Cricket & Squash Club,https://hythecsc.bookteq.com/api/open-active/,facilityUse,https://hythecsc.bookteq.com/api/open-active/facility-uses,hythe-cricket-squash-club--facilityuse,https://hythecsc.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769005298115559&afterId=716a8eb2-366d-4244-a848-2986d90f7b87
ID Verde Charnwood,https://idverdecharnwood.bookteq.com/api/open-active/,facilityUse,https://idverdecharnwood.bookteq.com/api/open-active/facility-uses,id-verde-charnwood--facilityuse,https://idverdecharnwood.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769005309523583&afterId=718091cb-2e29-4da6-bd0a-300035eaa29a
JMO Sports Limited,https://jmosportslimited.bookteq.com/api/open-active/,facilityUse,https://jmosportslimited.bookteq.com/api/open-active/facility-uses,jmo-sports-limited--facilityuse,https://jmosportslimited.bookteq.com/api/open-active/facility-uses?afterTimestamp=1784197943887629&afterId=0820b475-e247-46ec-b956-1fe62a8c59b7
jubileehall,https://jubileehall-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://jubileehall-openactive.legendonlineservices.co.uk/api/facility-uses,jubileehall--facilityuse,
Kingsway Park High School,https://kingswayparkhighschool.bookteq.com/api/open-active/,facilityUse,https://kingswayparkhighschool.bookteq.com/api/open-active/facility-uses,kingsway-park-high-school--facilityuse,https://kingswayparkhighschool.bookteq.com/api/open-active/facility-uses?afterTimestamp=1778768839421127&afterId=6fd2a00c-aa08-4bcb-9ace-2dd6268c4f4b
Lampton Leisure,https://lamptonleisure.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-facility-uses,lampton-leisure--facilityuse,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-facility-uses?afterTimestamp=71449260&afterId=FALTENNIS
lancaster,https://lancaster-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://lancaster-openactive.legendonlineservices.co.uk/api/facility-uses,lancaster--facilityuse,https://lancaster-openactive.legendonlineservices.co.uk/api/facility-uses?afterTimestamp=490349&afterId=481
Langley Grange Pool,https://langleygrange.bookteq.com/api/open-active/,facilityUse,https://langleygrange.bookteq.com/api/open-active/facility-uses,langley-grange-pool--facilityuse,https://langleygrange.bookteq.com/api/open-active/facility-uses?afterTimestamp=1781260027870032&afterId=666c03a8-6277-47d7-8318-ad00a169e546
Larkhall Sports Club,https://larkhallsportsclub.bookteq.com/api/open-active/,facilityUse,https://larkhallsportsclub.bookteq.com/api/open-active/facility-uses,larkhall-sports-club--facilityuse,https://larkhallsportsclub.bookteq.com/api/open-active/facility-uses?afterTimestamp=1772465515876486&afterId=c176aa73-b4b5-4fb0-bb54-f6bb8d443c00
LED Community Leisure Ltd,https://ledleisure.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-facility-uses,led-community-leisure-ltd--facilityuse,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-facility-uses?afterTimestamp=10339271&afterId=DU40044
Leisure SK,https://leisuresk.leisurecloud.net/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/LeisureSK-live-facility-uses,leisure-sk--facilityuse,https://opendata.leisurecloud.live/api/feeds/LeisureSK-live-facility-uses?afterTimestamp=71970604&afterId=SKAFITSESH
leisurefocus,https://leisurefocus-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://leisurefocus-openactive.legendonlineservices.co.uk/api/facility-uses,leisurefocus--facilityuse,
Liberty Leisure,https://lleisure.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/LibertyLeisure-live-facility-uses,liberty-leisure--facilityuse,https://opendata.leisurecloud.live/api/feeds/LibertyLeisure-live-facility-uses?afterTimestamp=64589558&afterId=CHOSPH0010
lifeleisure,https://lifeleisure-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://lifeleisure-openactive.legendonlineservices.co.uk/api/facility-uses,lifeleisure--facilityuse,
lincsinspire,https://lincsinspire-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://lincsinspire-openactive.legendonlineservices.co.uk/api/facility-uses,lincsinspire--facilityuse,
London Borough of Ealing Council,https://ealingboroughcouncil.bookteq.com/api/open-active/,facilityUse,https://ealingboroughcouncil.bookteq.com/api/open-active/facility-uses,london-borough-of-ealing-council--facilityuse,https://ealingboroughcouncil.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769005043025660&afterId=eac8d8b4-0750-405c-9cfd-15662799f02b
Loughborough University,https://loughboroughuniversity-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://loughboroughuniversity-openactive.legendonlineservices.co.uk/api/facility-uses,loughborough-university--facilityuse,
LRSO,https://lrso.bookteq.com/api/open-active/,facilityUse,https://lrso.bookteq.com/api/open-active/facility-uses,lrso--facilityuse,https://lrso.bookteq.com/api/open-active/facility-uses?afterTimestamp=1783432431885039&afterId=7e38b3db-7767-43f6-917a-5a529e968ab2
lsbuactive,https://lsbuactive-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://lsbuactive-openactive.legendonlineservices.co.uk/api/facility-uses,lsbuactive--facilityuse,https://lsbuactive-openactive.legendonlineservices.co.uk/api/facility-uses?afterTimestamp=62455&afterId=187
Manchester Communication Academy,https://manchestercommunicationacademy.bookteq.com/api/open-active/,facilityUse,https://manchestercommunicationacademy.bookteq.com/api/open-active/facility-uses,manchester-communication-academy--facilityuse,https://manchestercommunicationacademy.bookteq.com/api/open-active/facility-uses?afterTimestamp=1779278578519256&afterId=945ab566-18e1-4062-8190-731474709372
March was Town FC Estover CIC,https://marchtownfcestovercic.bookteq.com/api/open-active/,facilityUse,https://marchtownfcestovercic.bookteq.com/api/open-active/facility-uses,march-was-town-fc-estover-cic--facilityuse,https://marchtownfcestovercic.bookteq.com/api/open-active/facility-uses?afterTimestamp=1782465285852853&afterId=c0cbe845-3954-4594-97e2-cb24a2c5fc60
Mark Allen,https://fleetcc.bookteq.com/api/open-active/,facilityUse,https://fleetcc.bookteq.com/api/open-active/facility-uses,mark-allen--facilityuse,https://fleetcc.bookteq.com/api/open-active/facility-uses?afterTimestamp=1776361191611562&afterId=847a8c9c-7696-4910-a868-a266cafe82c9
Marston Moretaine Playing Fields,https://marstonmoretaine.bookteq.com/api/open-active/,facilityUse,https://marstonmoretaine.bookteq.com/api/open-active/facility-uses,marston-moretaine-playing-fields--facilityuse,https://marstonmoretaine.bookteq.com/api/open-active/facility-uses?afterTimestamp=1773571149744840&afterId=5fd47046-b46c-4a78-9544-19765f976830
Matthew Arnold Sports Centre,https://lifestylefitness.bookteq.com/api/open-active/,facilityUse,https://lifestylefitness.bookteq.com/api/open-active/facility-uses,matthew-arnold-sports-centre--facilityuse,https://lifestylefitness.bookteq.com/api/open-active/facility-uses?afterTimestamp=1784271948762609&afterId=1465aa26-08a2-4e20-9363-ee0827ee7852
NXT Level Sport & Education Ltd,https://nxtlevelsportandeducation.bookteq.com/api/open-active/,facilityUse,https://nxtlevelsportandeducation.bookteq.com/api/open-active/facility-uses,nxt-level-sport-education-ltd--facilityuse,https://nxtlevelsportandeducation.bookteq.com/api/open-active/facility-uses?afterTimestamp=1784206043050919&afterId=e5dcfc7b-f89a-4450-a1c3-59ff8f9eb431
Old Northamptonians Association,https://oldnorthamptonians.bookteq.com/api/open-active/,facilityUse,https://oldnorthamptonians.bookteq.com/api/open-active/facility-uses,old-northamptonians-association--facilityuse,https://oldnorthamptonians.bookteq.com/api/open-active/facility-uses?afterTimestamp=1779725863909936&afterId=6c861054-3e35-426e-9dd9-574b1a1101e9
Oldham Community Leisure,https://ocll.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/OldhamCommunityLeisure-live-facility-uses,oldham-community-leisure--facilityuse,https://opendata.leisurecloud.live/api/feeds/OldhamCommunityLeisure-live-facility-uses?afterTimestamp=12471326&afterId=OSCTEN
Orchard Learning Alliance,https://orchardlearningalliance.bookteq.com/api/open-active/,facilityUse,https://orchardlearningalliance.bookteq.com/api/open-active/facility-uses,orchard-learning-alliance--facilityuse,https://orchardlearningalliance.bookteq.com/api/open-active/facility-uses?afterTimestamp=1784285558528695&afterId=b55a6d67-0ba7-4595-ad03-aebd9c2d196a
Oxford University,https://oxforduniversity.leisurecloud.net/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/OxfordUniversity-live-facility-uses,oxford-university--facilityuse,https://opendata.leisurecloud.live/api/feeds/OxfordUniversity-live-facility-uses?afterTimestamp=86339596&afterId=ACTRFC0001
"Parkwood Leisure Ltd, its subsidiaries and partner organisations",https://leisurecentre-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://leisurecentre-openactive.legendonlineservices.co.uk/api/facility-uses,parkwood-leisure-ltd-its-subsidiaries-and-partner-organisations--facilityuse,
