publisher,field,verdict,n
Be_Well_London_Borough_of_Tower_Hamlets,attendeeInstructions,INHERITABLE,67
Be_Well_London_Borough_of_Tower_Hamlets,attendeeInstructions,SOURCE_ABSENT,60
Be_Well_London_Borough_of_Tower_Hamlets,category,INHERITABLE,127
Be_Well_London_Borough_of_Tower_Hamlets,description,SOURCE_ABSENT,127
Be_Well_London_Borough_of_Tower_Hamlets,eventSchedule,INHERITABLE,127
Be_Well_London_Borough_of_Tower_Hamlets,genderRestriction,INHERITABLE,10
Be_Well_London_Borough_of_Tower_Hamlets,genderRestriction,SOURCE_ABSENT,117
Be_Well_London_Borough_of_Tower_Hamlets,level,SOURCE_ABSENT,127
Be_Well_London_Borough_of_Tower_Hamlets,location,INHERITABLE,127
Be_Well_London_Borough_of_Tower_Hamlets,name,INHERITABLE,127
Be_Well_London_Borough_of_Tower_Hamlets,offers,INHERITABLE,127
Be_Well_London_Borough_of_Tower_Hamlets,organizer,INHERITABLE,10
Be_Well_London_Borough_of_Tower_Hamlets,organizer,SOURCE_ABSENT,117
Be_Well_London_Borough_of_Tower_Hamlets,url,INHERITABLE,127
Better,activity,INHERITABLE,272
Better,activity,UNRESOLVED,728
Better,ageRange,INHERITABLE,16
Better,ageRange,SOURCE_ABSENT,256
Better,ageRange,UNRESOLVED,728
Better,attendeeInstructions,SOURCE_ABSENT,272
Better,attendeeInstructions,UNRESOLVED,728
Better,category,SOURCE_ABSENT,272
Better,category,UNRESOLVED,728
Better,description,INHERITABLE,264
Better,description,SOURCE_ABSENT,8
Better,description,UNRESOLVED,728
Better,eventSchedule,INHERITABLE,272
Better,eventSchedule,UNRESOLVED,728
Better,genderRestriction,INHERITABLE,272
Better,genderRestriction,UNRESOLVED,728
Better,level,SOURCE_ABSENT,272
Better,level,UNRESOLVED,728
Better,location,INHERITABLE,272
Better,location,UNRESOLVED,728
Better,name,INHERITABLE,272
Better,name,UNRESOLVED,728
Better,offers,ON_CHILD,947
Better,offers,SOURCE_ABSENT,45
Better,offers,UNRESOLVED,8
Better,organizer,INHERITABLE,272
Better,organizer,UNRESOLVED,728
Better,url,ON_CHILD,1000
Birmingham_City_Council,activity,SOURCE_ABSENT,486
Birmingham_City_Council,ageRange,SOURCE_ABSENT,486
Birmingham_City_Council,attendeeInstructions,INHERITABLE,486
Birmingham_City_Council,category,INHERITABLE,486
Birmingham_City_Council,description,SOURCE_ABSENT,486
Birmingham_City_Council,eventSchedule,INHERITABLE,486
Birmingham_City_Council,genderRestriction,INHERITABLE,300
Birmingham_City_Council,genderRestriction,SOURCE_ABSENT,186
Birmingham_City_Council,level,SOURCE_ABSENT,486
Birmingham_City_Council,location,INHERITABLE,486
Birmingham_City_Council,name,INHERITABLE,486
Birmingham_City_Council,offers,INHERITABLE,486
Birmingham_City_Council,organizer,INHERITABLE,300
Birmingham_City_Council,organizer,SOURCE_ABSENT,186
Birmingham_City_Council,url,INHERITABLE,486
Brimhams_Active,activity,SOURCE_ABSENT,659
Brimhams_Active,ageRange,SOURCE_ABSENT,659
Brimhams_Active,attendeeInstructions,INHERITABLE,488
Brimhams_Active,attendeeInstructions,SOURCE_ABSENT,171
Brimhams_Active,category,INHERITABLE,659
Brimhams_Active,description,SOURCE_ABSENT,659
Brimhams_Active,eventSchedule,INHERITABLE,659
Brimhams_Active,genderRestriction,INHERITABLE,659
Brimhams_Active,level,SOURCE_ABSENT,659
Brimhams_Active,location,INHERITABLE,659
Brimhams_Active,name,INHERITABLE,659
Brimhams_Active,offers,INHERITABLE,659
Brimhams_Active,organizer,INHERITABLE,659
Brimhams_Active,url,INHERITABLE,659
Castlepoint,activity,SOURCE_ABSENT,683
Castlepoint,ageRange,SOURCE_ABSENT,683
Castlepoint,attendeeInstructions,INHERITABLE,598
Castlepoint,attendeeInstructions,SOURCE_ABSENT,85
Castlepoint,category,INHERITABLE,683
Castlepoint,description,SOURCE_ABSENT,683
Castlepoint,eventSchedule,INHERITABLE,683
Castlepoint,genderRestriction,INHERITABLE,76
Castlepoint,genderRestriction,SOURCE_ABSENT,607
Castlepoint,level,SOURCE_ABSENT,683
Castlepoint,location,INHERITABLE,683
Castlepoint,name,INHERITABLE,683
Castlepoint,offers,INHERITABLE,11
Castlepoint,offers,SOURCE_ABSENT,672
Castlepoint,organizer,INHERITABLE,78
Castlepoint,organizer,SOURCE_ABSENT,605
Castlepoint,url,INHERITABLE,683
Chelmsford_City_Sports,activity,SOURCE_ABSENT,722
Chelmsford_City_Sports,ageRange,SOURCE_ABSENT,722
Chelmsford_City_Sports,attendeeInstructions,INHERITABLE,604
Chelmsford_City_Sports,attendeeInstructions,SOURCE_ABSENT,118
Chelmsford_City_Sports,category,INHERITABLE,722
Chelmsford_City_Sports,description,SOURCE_ABSENT,722
Chelmsford_City_Sports,eventSchedule,INHERITABLE,722
Chelmsford_City_Sports,genderRestriction,INHERITABLE,280
Chelmsford_City_Sports,genderRestriction,SOURCE_ABSENT,442
Chelmsford_City_Sports,level,SOURCE_ABSENT,722
Chelmsford_City_Sports,location,INHERITABLE,722
Chelmsford_City_Sports,name,INHERITABLE,722
Chelmsford_City_Sports,offers,INHERITABLE,720
Chelmsford_City_Sports,offers,SOURCE_ABSENT,2
Chelmsford_City_Sports,organizer,INHERITABLE,280
Chelmsford_City_Sports,organizer,SOURCE_ABSENT,442
Chelmsford_City_Sports,url,INHERITABLE,722
Colchester_Leisure_World,activity,SOURCE_ABSENT,576
Colchester_Leisure_World,ageRange,SOURCE_ABSENT,576
Colchester_Leisure_World,attendeeInstructions,INHERITABLE,430
Colchester_Leisure_World,attendeeInstructions,SOURCE_ABSENT,146
Colchester_Leisure_World,category,INHERITABLE,576
Colchester_Leisure_World,description,SOURCE_ABSENT,576
Colchester_Leisure_World,eventSchedule,INHERITABLE,576
Colchester_Leisure_World,genderRestriction,INHERITABLE,576
Colchester_Leisure_World,level,SOURCE_ABSENT,576
Colchester_Leisure_World,location,INHERITABLE,576
Colchester_Leisure_World,name,INHERITABLE,576
Colchester_Leisure_World,offers,INHERITABLE,456
Colchester_Leisure_World,offers,SOURCE_ABSENT,120
Colchester_Leisure_World,organizer,INHERITABLE,576
Colchester_Leisure_World,url,SOURCE_ABSENT,576
Conwy,activity,SOURCE_ABSENT,332
Conwy,activity,UNRESOLVED,10
Conwy,ageRange,SOURCE_ABSENT,332
Conwy,ageRange,UNRESOLVED,10
Conwy,attendeeInstructions,INHERITABLE,7
Conwy,attendeeInstructions,SOURCE_ABSENT,325
Conwy,attendeeInstructions,UNRESOLVED,10
Conwy,category,INHERITABLE,332
Conwy,category,UNRESOLVED,10
Conwy,description,SOURCE_ABSENT,332
Conwy,description,UNRESOLVED,10
Conwy,eventSchedule,INHERITABLE,332
Conwy,eventSchedule,UNRESOLVED,10
Conwy,genderRestriction,INHERITABLE,332
Conwy,genderRestriction,UNRESOLVED,10
Conwy,level,SOURCE_ABSENT,332
Conwy,level,UNRESOLVED,10
Conwy,location,INHERITABLE,332
Conwy,location,UNRESOLVED,10
Conwy,name,INHERITABLE,332
Conwy,name,UNRESOLVED,10
Conwy,offers,SOURCE_ABSENT,332
Conwy,offers,UNRESOLVED,10
Conwy,organizer,INHERITABLE,332
Conwy,organizer,UNRESOLVED,10
Conwy,url,SOURCE_ABSENT,332
Conwy,url,UNRESOLVED,10
Courtside_Hubs_CIC,activity,INHERITABLE,32
Courtside_Hubs_CIC,activity,UNRESOLVED,79
Courtside_Hubs_CIC,ageRange,INHERITABLE,32
Courtside_Hubs_CIC,ageRange,UNRESOLVED,79
Courtside_Hubs_CIC,attendeeInstructions,SOURCE_ABSENT,32
Courtside_Hubs_CIC,attendeeInstructions,UNRESOLVED,79
Courtside_Hubs_CIC,category,SOURCE_ABSENT,32
Courtside_Hubs_CIC,category,UNRESOLVED,79
Courtside_Hubs_CIC,description,INHERITABLE,32
Courtside_Hubs_CIC,description,UNRESOLVED,79
Courtside_Hubs_CIC,eventSchedule,INHERITABLE,32
Courtside_Hubs_CIC,eventSchedule,UNRESOLVED,79
Courtside_Hubs_CIC,genderRestriction,INHERITABLE,32
Courtside_Hubs_CIC,genderRestriction,UNRESOLVED,79
Courtside_Hubs_CIC,level,SOURCE_ABSENT,32
Courtside_Hubs_CIC,level,UNRESOLVED,79
Courtside_Hubs_CIC,location,INHERITABLE,32
Courtside_Hubs_CIC,location,UNRESOLVED,79
Courtside_Hubs_CIC,name,INHERITABLE,32
Courtside_Hubs_CIC,name,UNRESOLVED,79
Courtside_Hubs_CIC,offers,ON_CHILD,111
Courtside_Hubs_CIC,organizer,INHERITABLE,32
Courtside_Hubs_CIC,organizer,UNRESOLVED,79
Courtside_Hubs_CIC,url,INHERITABLE,32
Courtside_Hubs_CIC,url,UNRESOLVED,79
Everyone_Active,activity,SOURCE_ABSENT,6
Everyone_Active,activity,UNRESOLVED,993
Everyone_Active,ageRange,SOURCE_ABSENT,6
Everyone_Active,ageRange,UNRESOLVED,993
Everyone_Active,attendeeInstructions,INHERITABLE,6
Everyone_Active,attendeeInstructions,UNRESOLVED,993
Everyone_Active,category,INHERITABLE,6
Everyone_Active,category,UNRESOLVED,993
Everyone_Active,description,SOURCE_ABSENT,6
Everyone_Active,description,UNRESOLVED,993
Everyone_Active,eventSchedule,INHERITABLE,6
Everyone_Active,eventSchedule,UNRESOLVED,993
Everyone_Active,genderRestriction,SOURCE_ABSENT,6
Everyone_Active,genderRestriction,UNRESOLVED,993
Everyone_Active,level,SOURCE_ABSENT,6
Everyone_Active,level,UNRESOLVED,993
Everyone_Active,location,INHERITABLE,6
Everyone_Active,location,UNRESOLVED,993
Everyone_Active,name,INHERITABLE,6
Everyone_Active,name,UNRESOLVED,993
Everyone_Active,offers,INHERITABLE,6
Everyone_Active,offers,UNRESOLVED,993
Everyone_Active,organizer,SOURCE_ABSENT,6
Everyone_Active,organizer,UNRESOLVED,993
Everyone_Active,url,INHERITABLE,6
Everyone_Active,url,UNRESOLVED,993
Huntingdonshire_District_Council,activity,SOURCE_ABSENT,589
Huntingdonshire_District_Council,ageRange,SOURCE_ABSENT,589
Huntingdonshire_District_Council,attendeeInstructions,INHERITABLE,500
Huntingdonshire_District_Council,attendeeInstructions,SOURCE_ABSENT,89
Huntingdonshire_District_Council,category,INHERITABLE,589
Huntingdonshire_District_Council,description,SOURCE_ABSENT,589
Huntingdonshire_District_Council,eventSchedule,INHERITABLE,589
Huntingdonshire_District_Council,genderRestriction,INHERITABLE,170
Huntingdonshire_District_Council,genderRestriction,SOURCE_ABSENT,419
Huntingdonshire_District_Council,level,SOURCE_ABSENT,589
Huntingdonshire_District_Council,location,INHERITABLE,589
Huntingdonshire_District_Council,name,INHERITABLE,589
Huntingdonshire_District_Council,offers,INHERITABLE,559
Huntingdonshire_District_Council,offers,SOURCE_ABSENT,30
Huntingdonshire_District_Council,organizer,INHERITABLE,170
Huntingdonshire_District_Council,organizer,SOURCE_ABSENT,419
Huntingdonshire_District_Council,url,INHERITABLE,589
LED_Community_Leisure_Ltd,activity,SOURCE_ABSENT,735
LED_Community_Leisure_Ltd,activity,UNRESOLVED,59
LED_Community_Leisure_Ltd,ageRange,SOURCE_ABSENT,735
LED_Community_Leisure_Ltd,ageRange,UNRESOLVED,59
LED_Community_Leisure_Ltd,attendeeInstructions,INHERITABLE,477
LED_Community_Leisure_Ltd,attendeeInstructions,SOURCE_ABSENT,258
LED_Community_Leisure_Ltd,attendeeInstructions,UNRESOLVED,59
LED_Community_Leisure_Ltd,category,INHERITABLE,735
LED_Community_Leisure_Ltd,category,UNRESOLVED,59
LED_Community_Leisure_Ltd,description,SOURCE_ABSENT,735
LED_Community_Leisure_Ltd,description,UNRESOLVED,59
LED_Community_Leisure_Ltd,eventSchedule,INHERITABLE,735
LED_Community_Leisure_Ltd,eventSchedule,UNRESOLVED,59
LED_Community_Leisure_Ltd,genderRestriction,SOURCE_ABSENT,735
LED_Community_Leisure_Ltd,genderRestriction,UNRESOLVED,59
LED_Community_Leisure_Ltd,level,SOURCE_ABSENT,735
LED_Community_Leisure_Ltd,level,UNRESOLVED,59
LED_Community_Leisure_Ltd,location,INHERITABLE,735
LED_Community_Leisure_Ltd,location,UNRESOLVED,59
LED_Community_Leisure_Ltd,name,INHERITABLE,735
LED_Community_Leisure_Ltd,name,UNRESOLVED,59
LED_Community_Leisure_Ltd,offers,INHERITABLE,727
LED_Community_Leisure_Ltd,offers,SOURCE_ABSENT,8
LED_Community_Leisure_Ltd,offers,UNRESOLVED,59
LED_Community_Leisure_Ltd,organizer,SOURCE_ABSENT,735
LED_Community_Leisure_Ltd,organizer,UNRESOLVED,59
LED_Community_Leisure_Ltd,url,INHERITABLE,735
LED_Community_Leisure_Ltd,url,UNRESOLVED,59
Lampton_Leisure,activity,SOURCE_ABSENT,527
Lampton_Leisure,ageRange,SOURCE_ABSENT,527
Lampton_Leisure,attendeeInstructions,INHERITABLE,281
Lampton_Leisure,attendeeInstructions,SOURCE_ABSENT,246
Lampton_Leisure,category,INHERITABLE,527
Lampton_Leisure,description,SOURCE_ABSENT,527
Lampton_Leisure,eventSchedule,INHERITABLE,527
Lampton_Leisure,genderRestriction,INHERITABLE,96
Lampton_Leisure,genderRestriction,SOURCE_ABSENT,431
Lampton_Leisure,level,SOURCE_ABSENT,527
Lampton_Leisure,location,INHERITABLE,527
Lampton_Leisure,name,INHERITABLE,527
Lampton_Leisure,offers,INHERITABLE,487
Lampton_Leisure,offers,SOURCE_ABSENT,40
Lampton_Leisure,organizer,INHERITABLE,100
Lampton_Leisure,organizer,SOURCE_ABSENT,427
Lampton_Leisure,url,INHERITABLE,527
Leisure_SK,activity,SOURCE_ABSENT,782
Leisure_SK,ageRange,SOURCE_ABSENT,782
Leisure_SK,attendeeInstructions,INHERITABLE,468
Leisure_SK,attendeeInstructions,SOURCE_ABSENT,314
Leisure_SK,category,INHERITABLE,782
Leisure_SK,description,SOURCE_ABSENT,782
Leisure_SK,eventSchedule,INHERITABLE,782
Leisure_SK,genderRestriction,INHERITABLE,767
Leisure_SK,genderRestriction,SOURCE_ABSENT,15
Leisure_SK,level,SOURCE_ABSENT,782
Leisure_SK,location,INHERITABLE,782
Leisure_SK,name,INHERITABLE,782
Leisure_SK,offers,INHERITABLE,767
Leisure_SK,offers,SOURCE_ABSENT,15
Leisure_SK,organizer,INHERITABLE,782
Leisure_SK,url,INHERITABLE,782
Liberty_Leisure,activity,SOURCE_ABSENT,824
Liberty_Leisure,ageRange,SOURCE_ABSENT,824
Liberty_Leisure,attendeeInstructions,INHERITABLE,305
Liberty_Leisure,attendeeInstructions,SOURCE_ABSENT,519
Liberty_Leisure,category,INHERITABLE,824
Liberty_Leisure,description,SOURCE_ABSENT,824
Liberty_Leisure,eventSchedule,INHERITABLE,824
Liberty_Leisure,genderRestriction,INHERITABLE,182
Liberty_Leisure,genderRestriction,SOURCE_ABSENT,642
Liberty_Leisure,level,SOURCE_ABSENT,824
Liberty_Leisure,location,INHERITABLE,824
Liberty_Leisure,name,INHERITABLE,824
Liberty_Leisure,offers,INHERITABLE,794
Liberty_Leisure,offers,SOURCE_ABSENT,30
Liberty_Leisure,organizer,INHERITABLE,182
Liberty_Leisure,organizer,SOURCE_ABSENT,642
Liberty_Leisure,url,INHERITABLE,824
Oldham_Community_Leisure,activity,SOURCE_ABSENT,716
Oldham_Community_Leisure,ageRange,SOURCE_ABSENT,716
Oldham_Community_Leisure,attendeeInstructions,INHERITABLE,598
Oldham_Community_Leisure,attendeeInstructions,SOURCE_ABSENT,118
Oldham_Community_Leisure,category,INHERITABLE,716
Oldham_Community_Leisure,description,SOURCE_ABSENT,716
Oldham_Community_Leisure,eventSchedule,INHERITABLE,716
Oldham_Community_Leisure,genderRestriction,INHERITABLE,11
Oldham_Community_Leisure,genderRestriction,SOURCE_ABSENT,705
Oldham_Community_Leisure,level,SOURCE_ABSENT,716
Oldham_Community_Leisure,location,INHERITABLE,716
Oldham_Community_Leisure,name,INHERITABLE,716
Oldham_Community_Leisure,offers,INHERITABLE,712
Oldham_Community_Leisure,offers,SOURCE_ABSENT,4
Oldham_Community_Leisure,organizer,INHERITABLE,15
Oldham_Community_Leisure,organizer,SOURCE_ABSENT,701
Oldham_Community_Leisure,url,INHERITABLE,716
Oxford_University,activity,SOURCE_ABSENT,70
Oxford_University,ageRange,SOURCE_ABSENT,70
Oxford_University,attendeeInstructions,INHERITABLE,36
Oxford_University,attendeeInstructions,SOURCE_ABSENT,34
Oxford_University,category,INHERITABLE,70
Oxford_University,description,SOURCE_ABSENT,70
Oxford_University,eventSchedule,INHERITABLE,70
Oxford_University,genderRestriction,INHERITABLE,66
Oxford_University,genderRestriction,SOURCE_ABSENT,4
Oxford_University,level,SOURCE_ABSENT,70
Oxford_University,location,INHERITABLE,70
Oxford_University,name,INHERITABLE,70
Oxford_University,offers,INHERITABLE,70
Oxford_University,organizer,INHERITABLE,66
Oxford_University,organizer,SOURCE_ABSENT,4
Oxford_University,url,INHERITABLE,70
Pembrokeshire_Leisure,activity,SOURCE_ABSENT,876
Pembrokeshire_Leisure,activity,UNRESOLVED,123
Pembrokeshire_Leisure,ageRange,SOURCE_ABSENT,876
Pembrokeshire_Leisure,ageRange,UNRESOLVED,123
Pembrokeshire_Leisure,attendeeInstructions,INHERITABLE,397
Pembrokeshire_Leisure,attendeeInstructions,SOURCE_ABSENT,479
Pembrokeshire_Leisure,attendeeInstructions,UNRESOLVED,123
Pembrokeshire_Leisure,category,INHERITABLE,876
Pembrokeshire_Leisure,category,UNRESOLVED,123
Pembrokeshire_Leisure,description,SOURCE_ABSENT,876
Pembrokeshire_Leisure,description,UNRESOLVED,123
Pembrokeshire_Leisure,eventSchedule,INHERITABLE,876
Pembrokeshire_Leisure,eventSchedule,UNRESOLVED,123
Pembrokeshire_Leisure,genderRestriction,INHERITABLE,178
Pembrokeshire_Leisure,genderRestriction,SOURCE_ABSENT,698
Pembrokeshire_Leisure,genderRestriction,UNRESOLVED,123
Pembrokeshire_Leisure,level,SOURCE_ABSENT,876
Pembrokeshire_Leisure,level,UNRESOLVED,123
Pembrokeshire_Leisure,location,INHERITABLE,876
Pembrokeshire_Leisure,location,UNRESOLVED,123
Pembrokeshire_Leisure,name,INHERITABLE,876
Pembrokeshire_Leisure,name,UNRESOLVED,123
Pembrokeshire_Leisure,offers,INHERITABLE,672
Pembrokeshire_Leisure,offers,SOURCE_ABSENT,204
Pembrokeshire_Leisure,offers,UNRESOLVED,123
Pembrokeshire_Leisure,organizer,INHERITABLE,180
Pembrokeshire_Leisure,organizer,SOURCE_ABSENT,696
Pembrokeshire_Leisure,organizer,UNRESOLVED,123
Pembrokeshire_Leisure,url,INHERITABLE,876
Pembrokeshire_Leisure,url,UNRESOLVED,123
Places_Leisure,activity,UNRESOLVED,999
Places_Leisure,ageRange,UNRESOLVED,999
Places_Leisure,attendeeInstructions,UNRESOLVED,999
Places_Leisure,category,UNRESOLVED,999
Places_Leisure,description,UNRESOLVED,999
Places_Leisure,eventSchedule,UNRESOLVED,999
Places_Leisure,genderRestriction,UNRESOLVED,999
Places_Leisure,level,UNRESOLVED,999
Places_Leisure,location,UNRESOLVED,999
Places_Leisure,name,UNRESOLVED,999
Places_Leisure,offers,UNRESOLVED,999
Places_Leisure,organizer,UNRESOLVED,999
Places_Leisure,url,UNRESOLVED,999
Played,activity,INHERITABLE,141
Played,activity,UNRESOLVED,400
Played,ageRange,INHERITABLE,98
Played,ageRange,SOURCE_ABSENT,43
Played,ageRange,UNRESOLVED,400
Played,attendeeInstructions,INHERITABLE,59
Played,attendeeInstructions,SOURCE_ABSENT,82
Played,attendeeInstructions,UNRESOLVED,400
Played,category,SOURCE_ABSENT,141
Played,category,UNRESOLVED,400
Played,description,INHERITABLE,141
Played,description,UNRESOLVED,400
Played,eventSchedule,INHERITABLE,110
Played,eventSchedule,SOURCE_ABSENT,31
Played,eventSchedule,UNRESOLVED,400
Played,genderRestriction,INHERITABLE,141
Played,genderRestriction,UNRESOLVED,400
Played,level,SOURCE_ABSENT,141
Played,level,UNRESOLVED,400
Played,location,INHERITABLE,141
Played,location,UNRESOLVED,400
Played,name,INHERITABLE,141
Played,name,UNRESOLVED,400
Played,offers,ON_CHILD,541
Played,organizer,INHERITABLE,141
Played,organizer,UNRESOLVED,400
Played,url,INHERITABLE,141
Played,url,UNRESOLVED,400
Plymouth_Active,activity,SOURCE_ABSENT,653
Plymouth_Active,ageRange,SOURCE_ABSENT,653
Plymouth_Active,attendeeInstructions,INHERITABLE,323
Plymouth_Active,attendeeInstructions,SOURCE_ABSENT,330
Plymouth_Active,category,INHERITABLE,653
Plymouth_Active,description,SOURCE_ABSENT,653
Plymouth_Active,eventSchedule,INHERITABLE,653
Plymouth_Active,genderRestriction,INHERITABLE,100
Plymouth_Active,genderRestriction,SOURCE_ABSENT,553
Plymouth_Active,level,SOURCE_ABSENT,653
Plymouth_Active,location,INHERITABLE,653
Plymouth_Active,name,INHERITABLE,653
Plymouth_Active,offers,INHERITABLE,442
Plymouth_Active,offers,SOURCE_ABSENT,211
Plymouth_Active,organizer,INHERITABLE,106
Plymouth_Active,organizer,SOURCE_ABSENT,547
Plymouth_Active,url,INHERITABLE,653
Rivers_Fitness,activity,SOURCE_ABSENT,713
Rivers_Fitness,activity,UNRESOLVED,1
Rivers_Fitness,ageRange,SOURCE_ABSENT,713
Rivers_Fitness,ageRange,UNRESOLVED,1
Rivers_Fitness,attendeeInstructions,INHERITABLE,212
Rivers_Fitness,attendeeInstructions,SOURCE_ABSENT,501
Rivers_Fitness,attendeeInstructions,UNRESOLVED,1
Rivers_Fitness,category,INHERITABLE,713
Rivers_Fitness,category,UNRESOLVED,1
Rivers_Fitness,description,SOURCE_ABSENT,713
Rivers_Fitness,description,UNRESOLVED,1
Rivers_Fitness,eventSchedule,INHERITABLE,713
Rivers_Fitness,eventSchedule,UNRESOLVED,1
Rivers_Fitness,genderRestriction,INHERITABLE,410
Rivers_Fitness,genderRestriction,SOURCE_ABSENT,303
Rivers_Fitness,genderRestriction,UNRESOLVED,1
Rivers_Fitness,level,SOURCE_ABSENT,713
Rivers_Fitness,level,UNRESOLVED,1
Rivers_Fitness,location,INHERITABLE,713
Rivers_Fitness,location,UNRESOLVED,1
Rivers_Fitness,name,INHERITABLE,711
Rivers_Fitness,name,SOURCE_ABSENT,2
Rivers_Fitness,name,UNRESOLVED,1
Rivers_Fitness,offers,INHERITABLE,710
Rivers_Fitness,offers,SOURCE_ABSENT,3
Rivers_Fitness,offers,UNRESOLVED,1
Rivers_Fitness,organizer,INHERITABLE,413
Rivers_Fitness,organizer,SOURCE_ABSENT,300
Rivers_Fitness,organizer,UNRESOLVED,1
Rivers_Fitness,url,INHERITABLE,713
Rivers_Fitness,url,UNRESOLVED,1
Southwark_Council,activity,UNRESOLVED,4
Southwark_Council,ageRange,UNRESOLVED,4
Southwark_Council,attendeeInstructions,UNRESOLVED,4
Southwark_Council,category,UNRESOLVED,4
Southwark_Council,description,UNRESOLVED,4
Southwark_Council,eventSchedule,UNRESOLVED,4
Southwark_Council,genderRestriction,UNRESOLVED,4
Southwark_Council,level,UNRESOLVED,4
Southwark_Council,location,UNRESOLVED,4
Southwark_Council,name,UNRESOLVED,4
Southwark_Council,offers,UNRESOLVED,4
Southwark_Council,organizer,UNRESOLVED,4
Southwark_Council,url,UNRESOLVED,4
TeamUp,activity,UNRESOLVED,20
TeamUp,ageRange,UNRESOLVED,20
TeamUp,attendeeInstructions,UNRESOLVED,20
TeamUp,category,UNRESOLVED,20
TeamUp,description,UNRESOLVED,20
TeamUp,eventSchedule,UNRESOLVED,20
TeamUp,genderRestriction,UNRESOLVED,20
TeamUp,level,UNRESOLVED,20
TeamUp,location,UNRESOLVED,20
TeamUp,name,ON_CHILD,20
TeamUp,offers,UNRESOLVED,20
TeamUp,organizer,UNRESOLVED,20
TeamUp,url,ON_CHILD,20
Vision_Redbridge,activity,SOURCE_ABSENT,617
Vision_Redbridge,ageRange,SOURCE_ABSENT,617
Vision_Redbridge,attendeeInstructions,INHERITABLE,471
Vision_Redbridge,attendeeInstructions,SOURCE_ABSENT,146
Vision_Redbridge,category,INHERITABLE,617
Vision_Redbridge,description,SOURCE_ABSENT,617
Vision_Redbridge,eventSchedule,INHERITABLE,617
Vision_Redbridge,genderRestriction,INHERITABLE,312
Vision_Redbridge,genderRestriction,SOURCE_ABSENT,305
Vision_Redbridge,level,SOURCE_ABSENT,617
Vision_Redbridge,location,INHERITABLE,617
Vision_Redbridge,name,INHERITABLE,617
Vision_Redbridge,offers,INHERITABLE,525
Vision_Redbridge,offers,SOURCE_ABSENT,92
Vision_Redbridge,organizer,INHERITABLE,404
Vision_Redbridge,organizer,SOURCE_ABSENT,213
Vision_Redbridge,url,INHERITABLE,617
WV_Active,activity,SOURCE_ABSENT,738
